iter	Passed	Remaining
0	152	152066
1	154	77214
2	157	52213
3	159	39703
4	161	32195
5	164	27329
6	167	23753
7	169	21051
8	172	18958
9	174	17305
10	192	17288
11	198	16352
12	201	15265
13	203	14311
14	205	13485
15	207	12760
16	212	12308
17	215	11749
18	218	11290
19	221	10851
20	223	10417
21	226	10083
22	229	9735
23	234	9549
24	241	9433
25	246	9241
26	251	9073
27	258	8990
28	262	8798
29	269	8709
30	275	8608
31	280	8475
32	284	8324
33	290	8243
34	294	8106
35	298	7992
36	305	7938
37	307	7794
38	311	7681
39	319	7658
40	321	7526
41	324	7396
42	327	7279
43	332	7230
44	335	7117
45	338	7025
46	340	6909
47	342	6802
48	346	6721
49	348	6621
50	350	6522
51	353	6445
52	355	6348
53	357	6256
54	360	6193
55	362	6113
56	365	6039
57	367	5969
58	369	5897
59	372	5831
60	375	5774
61	377	5714
62	379	5650
63	382	5595
64	395	5694
65	409	5799
66	413	5756
67	420	5768
68	424	5728
69	428	5693
70	433	5670
71	438	5653
72	443	5626
73	446	5583
74	453	5588
75	457	5561
76	461	5530
77	477	5641
78	486	5667
79	489	5630
80	494	5607
81	498	5582
82	519	5742
83	536	5850
84	540	5819
85	543	5777
86	547	5748
87	558	5783
88	563	5765
89	572	5787
90	580	5801
91	583	5763
92	590	5759
93	592	5713
94	595	5669
95	597	5627
96	599	5581
97	604	5562
98	606	5518
99	608	5473
100	613	5462
101	618	5443
102	621	5408
103	624	5376
104	626	5343
105	628	5304
106	631	5266
107	635	5250
108	637	5212
109	639	5176
110	641	5141
111	643	5105
112	649	5101
113	652	5072
114	656	5049
115	658	5016
116	660	4981
117	662	4948
118	665	4923
119	666	4890
120	668	4859
121	670	4824
122	672	4791
123	674	4761
124	675	4729
125	679	4711
126	689	4742
127	698	4757
128	701	4735
129	703	4707
130	705	4678
131	706	4649
132	710	4629
133	712	4604
134	714	4576
135	715	4548
136	717	4519
137	719	4493
138	721	4468
139	723	4442
140	724	4416
141	725	4385
142	727	4359
143	728	4333
144	730	4306
145	731	4280
146	733	4254
147	734	4227
148	735	4201
149	738	4186
150	740	4163
151	741	4139
152	743	4114
153	744	4091
154	746	4068
155	747	4046
156	749	4023
157	750	4000
158	759	4018
159	761	4000
160	762	3975
161	764	3954
162	765	3932
163	767	3912
164	769	3895
165	771	3875
166	773	3855
167	774	3835
168	776	3815
169	777	3796
170	778	3775
171	781	3759
172	784	3751
173	788	3743
174	790	3726
175	791	3707
176	793	3689
177	794	3671
178	796	3652
179	798	3638
180	800	3620
181	801	3603
182	803	3585
183	804	3567
184	805	3550
185	807	3532
186	808	3516
187	810	3500
188	811	3483
189	814	3470
190	815	3454
191	816	3437
192	818	3420
193	819	3404
194	820	3388
195	821	3371
196	823	3355
197	824	3339
198	825	3323
199	826	3307
200	829	3297
201	830	3281
202	831	3266
203	833	3251
204	834	3235
205	835	3220
206	836	3205
207	838	3191
208	839	3176
209	840	3161
210	841	3147
211	844	3137
212	845	3122
213	846	3108
214	847	3094
215	848	3079
216	849	3065
217	850	3051
218	853	3043
219	854	3030
220	856	3017
221	857	3003
222	858	2991
223	859	2978
224	861	2966
225	862	2954
226	863	2941
227	865	2930
228	866	2918
229	868	2905
230	869	2893
231	870	2881
232	872	2870
233	873	2859
234	874	2847
235	875	2835
236	877	2824
237	878	2813
238	880	2802
239	881	2791
240	882	2780
241	884	2768
242	886	2761
243	887	2750
244	889	2740
245	890	2729
246	892	2720
247	893	2709
248	894	2699
249	896	2688
250	897	2678
251	900	2674
252	902	2663
253	903	2652
254	904	2642
255	905	2632
256	907	2623
257	911	2620
258	912	2612
259	916	2608
260	917	2598
261	919	2589
262	920	2579
263	921	2569
264	922	2559
265	924	2550
266	925	2540
267	926	2530
268	927	2521
269	930	2515
270	931	2506
271	932	2496
272	934	2487
273	935	2478
274	936	2469
275	937	2460
276	939	2451
277	940	2442
278	941	2432
279	942	2423
280	944	2417
281	946	2408
282	947	2399
283	948	2391
284	966	2424
285	967	2415
286	968	2406
287	970	2398
288	971	2391
289	973	2383
290	974	2375
291	976	2367
292	978	2360
293	979	2351
294	980	2343
295	981	2335
296	983	2327
297	984	2318
298	985	2310
299	986	2302
300	987	2294
301	990	2289
302	991	2281
303	993	2274
304	994	2266
305	996	2259
306	997	2251
307	998	2244
308	1000	2236
309	1001	2229
310	1002	2221
311	1005	2217
312	1007	2210
313	1008	2203
314	1009	2196
315	1011	2188
316	1012	2182
317	1014	2175
318	1015	2167
319	1016	2160
320	1018	2153
321	1023	2155
322	1025	2149
323	1032	2154
324	1040	2160
325	1042	2155
326	1061	2184
327	1065	2182
328	1071	2185
329	1077	2188
330	1080	2184
331	1086	2186
332	1089	2182
333	1094	2181
334	1102	2188
335	1105	2183
336	1112	2188
337	1116	2186
338	1119	2182
339	1122	2178
340	1125	2175
341	1128	2170
342	1132	2169
343	1135	2164
344	1137	2159
345	1139	2154
346	1142	2149
347	1151	2158
348	1155	2154
349	1157	2149
350	1159	2144
351	1163	2141
352	1165	2135
353	1168	2131
354	1170	2126
355	1173	2123
356	1180	2125
357	1186	2127
358	1194	2133
359	1199	2131
360	1201	2126
361	1204	2123
362	1215	2132
363	1236	2159
364	1244	2165
365	1248	2162
366	1251	2158
367	1254	2153
368	1257	2149
369	1259	2144
370	1262	2140
371	1265	2135
372	1269	2133
373	1272	2129
374	1274	2123
375	1276	2118
376	1278	2113
377	1281	2108
378	1286	2107
379	1289	2103
380	1291	2098
381	1294	2094
382	1296	2089
383	1300	2086
384	1303	2081
385	1305	2076
386	1307	2070
387	1309	2066
388	1312	2061
389	1316	2058
390	1318	2053
391	1320	2047
392	1321	2041
393	1323	2036
394	1325	2030
395	1327	2024
396	1330	2021
397	1332	2015
398	1334	2010
399	1336	2004
400	1338	1999
401	1340	1993
402	1341	1987
403	1345	1984
404	1347	1978
405	1348	1973
406	1350	1967
407	1352	1962
408	1354	1957
409	1356	1951
410	1357	1945
411	1359	1940
412	1361	1934
413	1363	1929
414	1365	1924
415	1368	1920
416	1371	1917
417	1373	1912
418	1375	1906
419	1376	1901
420	1378	1895
421	1379	1889
422	1381	1884
423	1383	1879
